Wall time,Step,Value
1719386501.3259344,2500,2731.918212890625
1719430063.5133522,52500,2760.351806640625
1719450183.614606,102500,3159.965576171875
1719470383.3744223,152500,4514.642578125
1719490722.0033014,202500,6010.20849609375
1719511165.4652765,252500,6652.19580078125
1719531714.8320131,302500,6609.73681640625
1719552304.5296512,352500,8075.021484375
1719573009.4035485,402500,8449.646484375
1719593827.3965085,452500,9855.3349609375
1719614699.0394363,502500,7856.0810546875
1719635705.0868297,552500,9057.80078125
1719656787.9456155,602500,9612.791015625
1719677976.7359834,652500,6611.87939453125
1719699221.4172065,702500,3719.3583984375
1719720602.2870476,752500,3216.9794921875
1719742068.7051115,802500,2817.859375
1719763680.9095201,852500,2714.99755859375
1719785432.5641448,902500,2464.012939453125
1719807184.8286111,952500,2365.763671875
1719829003.3683474,1002500,2292.695556640625
1719850998.2308767,1052500,2180.70458984375
1719873113.0928686,1102500,2090.843017578125
1719895351.9153504,1152500,2061.2275390625
1719917629.425759,1202500,1988.1513671875
1719940007.7596698,1252500,1928.0948486328125
1719962500.640429,1302500,1909.462890625
1719985094.1046042,1352500,1876.0108642578125
1720007816.2420404,1402500,1851.533203125
1720030622.1468475,1452500,1788.389404296875
1720053537.982026,1502500,1793.6322021484375
1720076546.5919344,1552500,1745.8380126953125
1720099652.5380793,1602500,1736.2010498046875
1720122847.4502897,1652500,1706.735107421875
1720146177.8290472,1702500,1670.44091796875
1720169575.2563016,1752500,1645.167236328125
1720192968.2330873,1802500,1645.2357177734375
1720216612.1036856,1852500,1592.1082763671875
1720240322.5309937,1902500,1612.2955322265625
1720264153.930662,1952500,1576.0311279296875
1720288083.3786922,2002500,1557.4671630859375
1720312067.8692622,2052500,1545.166748046875
1720336232.0032048,2102500,1534.2215576171875
1720360488.0991304,2152500,1518.3157958984375
1720384839.5244823,2202500,1531.85205078125
1720409272.2873878,2252500,1506.923583984375
1720433837.970571,2302500,1493.5550537109375
1720458529.2065182,2352500,1486.6407470703125
1720483341.8330846,2402500,1490.8228759765625
1720508236.7106297,2452500,1465.12548828125
1720533240.6616328,2502500,1465.773193359375
1720558422.0717585,2552500,1456.2196044921875
1720583710.0809016,2602500,1444.4521484375
1720609116.7178814,2652500,1442.495849609375
1720634652.2263699,2702500,1436.84033203125
